opening_balance,daily_income,daily_expense,recurring_payment_amount,upcoming_payment_amount,expected_invoice_amount,overdue_invoice_amount,discretionary_spending,day_of_month,cash_flow_7d,cash_flow_30d,minimum_safe_balance,cash_shortage_risk,predicted_minimum_balance,days_to_cash_shortage
62042.86,2663.99,2717.05,7652.32,7275.88,3335.92,28500.0,6008.36,24,-2614.59,-24584.1,15000.0,0,37313.97,30.0
170782.91,2803.66,8458.72,40846.82,34019.51,8332.12,0.0,6494.75,27,-51526.81,-236186.05,25000.0,1,-65353.89,17.7
135175.98,5179.55,5901.12,24621.25,29597.54,55007.22,0.0,8075.45,21,-5888.6,-20858.81,20000.0,0,114281.92,30.0
31989.74,7228.35,6185.43,32260.41,12574.79,18852.01,40000.0,8281.83,7,6040.93,-10695.56,25000.0,1,21633.25,15.6
28463.64,1564.47,3061.8,12227.65,8366.77,15057.11,28500.0,8771.88,26,-10816.55,-61857.01,15000.0,1,-34046.87,5.7
273636.16,6949.06,5637.44,29187.53,29068.13,83340.04,0.0,4713.49,21,14222.05,64432.8,20000.0,0,287996.46,30.0
71399.88,4192.49,4075.91,18578.55,27242.45,26559.43,40000.0,3066.27,11,-4769.1,-31764.45,25000.0,0,39661.21,30.0
47680.52,2780.35,2733.11,20747.11,17672.62,23044.07,0.0,6174.74,2,-2129.56,-13958.49,15000.0,0,33648.31,30.0
129888.35,5579.1,4656.03,38766.01,25785.37,53670.47,20000.0,12129.42,26,6881.47,8811.32,25000.0,0,136538.92,30.0
20364.1,1280.87,2963.46,6885.14,13226.07,6639.54,0.0,3857.67,4,-15740.66,-63949.4,15000.0,1,-43651.21,2.4
143332.67,3875.35,3607.99,28720.8,17803.97,51695.79,0.0,6547.6,21,5089.08,13191.76,25000.0,0,148498.88,30.0
58553.54,2278.68,3176.37,20233.55,10678.07,4531.19,0.0,6357.68,25,-9648.78,-53310.95,15000.0,1,5336.95,22.7
35644.84,2034.82,1888.64,7037.71,11089.92,23686.92,0.0,4528.77,30,1324.71,9944.84,15000.0,0,37047.87,30.0
339485.24,6388.37,5234.87,21928.98,12836.17,22766.52,0.0,11766.15,28,7493.34,22606.38,20000.0,0,346920.87,30.0
34367.17,3171.3,1932.52,16426.3,19994.01,7465.66,28500.0,6242.29,6,2166.98,-3191.27,15000.0,0,31266.36,30.0
53985.91,2796.69,1731.58,13639.38,18612.07,21742.25,14000.0,6581.73,19,4359.4,15844.15,15000.0,0,58611.57,30.0
10770.59,3081.05,2274.66,13801.77,21591.91,17540.87,0.0,2351.05,23,516.13,6338.83,15000.0,1,11468.36,1.7
15497.3,3164.34,2536.6,9434.1,24921.33,24204.65,28500.0,8253.14,27,-733.44,-2718.65,15000.0,1,12897.56,1.0
156999.17,6824.72,5343.89,50847.49,42633.42,51974.84,40000.0,13782.65,20,3707.42,-13081.14,25000.0,0,143664.05,30.0
85842.41,7218.63,8360.42,28505.08,22993.1,30823.85,20000.0,10823.54,9,-11025.01,-62928.06,25000.0,1,22515.33,21.3
49650.23,2641.88,2077.73,14223.18,14685.1,16635.65,28500.0,5150.57,8,1402.11,-6748.25,15000.0,0,43264.8,30.0
116535.58,5114.83,4234.79,44730.73,22107.81,9142.85,0.0,3523.25,12,-854.23,-31294.32,25000.0,0,85402.65,30.0
337100.0,11361.48,4535.87,12510.07,28279.65,52113.81,0.0,7722.92,28,46890.17,216092.4,20000.0,0,383854.44,30.0
56068.2,1833.84,1772.88,14465.62,23659.25,18008.69,0.0,6112.55,22,-5435.24,-18287.39,15000.0,0,38013.93,30.0
20249.82,1790.58,2109.61,19427.39,6869.05,18304.95,28500.0,3723.83,26,-1319.84,-28962.4,15000.0,1,-8621.24,4.5
213175.87,8261.37,6890.62,33448.81,22847.21,79684.45,6000.0,10866.17,15,16393.25,62110.9,20000.0,0,229337.27,30.0
35391.34,4988.31,6076.02,28602.03,33270.0,9433.51,40000.0,3466.02,15,-19035.24,-101069.69,25000.0,1,-65749.39,2.9
145499.03,3814.36,6501.32,21157.86,13860.54,32973.67,20000.0,11394.15,8,-17758.21,-90653.55,25000.0,0,54745.04,30.0
176377.81,5226.61,4911.67,47421.89,21749.96,28631.66,20000.0,6010.33,26,-769.06,-39091.92,25000.0,0,137054.34,30.0
14386.22,1700.49,2608.3,17148.13,17864.14,8438.48,28500.0,7034.23,5,-11812.65,-65208.18,15000.0,1,-50323.57,1.0
26358.36,2715.69,1431.67,6973.23,4966.06,2936.76,14000.0,2814.98,16,7589.12,23918.27,15000.0,0,34500.59,30.0
34496.95,2146.94,1781.04,12375.48,12368.6,16164.55,28500.0,8150.1,20,846.77,-9002.54,15000.0,0,25926.79,30.0
158473.48,5895.86,4063.55,20611.04,35127.09,9246.03,40000.0,10636.84,20,624.52,-7522.88,25000.0,0,150519.84,30.0
88225.49,5823.45,5628.74,38187.82,45892.73,26146.82,0.0,10817.82,11,-11764.73,-52092.3,25000.0,0,36217.49,30.0
24138.54,2889.75,1451.2,18845.96,9918.95,4717.79,28500.0,4112.52,11,7045.84,7709.45,15000.0,0,30997.57,30.0
275819.89,10526.11,4051.19,17855.5,24014.75,80512.61,0.0,9316.48,4,51821.04,232889.85,20000.0,0,328024.23,30.0
60845.44,2916.83,2343.79,17764.81,19845.4,4371.85,0.0,5507.46,20,-3052.52,-16047.2,15000.0,0,44620.77,30.0
159613.89,11216.42,4640.61,12357.64,27729.17,26846.5,0.0,11568.01,20,40308.34,184034.14,20000.0,0,200495.92,30.0
73981.62,4344.72,6764.35,45837.86,40496.85,45112.05,0.0,14171.15,26,-24113.7,-113811.38,25000.0,1,-39510.2,9.3
163155.63,4449.3,3820.46,23290.69,39414.38,37056.25,0.0,13061.77,14,-3952.59,-6783.46,25000.0,0,156169.01,30.0
40914.45,6662.74,6943.08,21009.9,15054.16,54372.06,40000.0,13357.66,22,2890.36,-6102.25,25000.0,0,34596.67,30.0
226353.19,7681.67,7484.95,15669.52,17823.0,20851.52,6000.0,7714.73,20,-1581.88,-9139.52,20000.0,0,217149.64,30.0
12051.57,2498.42,3041.3,14917.27,24205.62,10622.02,0.0,2121.68,1,-11357.99,-44787.21,15000.0,1,-32668.41,1.0
38231.26,3138.61,2550.82,15699.78,18610.72,12454.44,28500.0,6726.94,3,-838.87,-15622.36,15000.0,0,22575.62,30.0
71607.18,3684.17,5657.6,31074.03,33011.62,11653.53,0.0,6119.4,27,-24687.97,-111635.09,25000.0,1,-39735.02,11.5
53827.7,2569.46,1757.76,20485.76,21273.28,23845.4,28500.0,6100.61,2,1941.7,-4962.49,15000.0,0,49428.06,30.0
57599.69,2303.18,1762.64,11991.34,20329.65,13048.51,0.0,4325.54,26,-1738.37,-3056.26,15000.0,0,54645.7,30.0
304732.04,8015.2,4781.51,21022.43,7353.01,84854.18,0.0,7343.46,5,36665.47,153489.48,20000.0,0,341371.58,30.0
225520.88,10267.41,7696.21,40038.36,11936.35,53790.81,0.0,4514.42,13,23981.98,78951.91,20000.0,0,249092.28,30.0
122719.24,4483.36,3801.86,42848.21,30731.08,44298.96,20000.0,6693.33,1,1337.93,-16835.03,25000.0,0,106044.85,30.0
114140.7,6920.27,5338.46,22958.56,13036.18,43491.45,0.0,10672.34,11,14556.51,54951.09,25000.0,0,128567.11,30.0
26035.25,2379.84,2262.94,12437.07,22987.33,10009.88,0.0,7377.4,28,-6374.67,-21907.58,15000.0,1,4024.98,10.5
149470.77,4958.93,7663.08,46449.96,14384.5,10155.48,8000.0,8911.42,13,-22651.78,-135003.61,25000.0,1,13901.99,26.5
